                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
 
                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                    log_L                                    log_R                                 log_Teff                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_ti44                              center_cr48                              center_fe52                              center_fe54                              center_fe56                              center_ni56                        center_degeneracy                                center_ye                           center_entropy                    compactness_parameter                        dynamic_timescale                             kh_timescale                            nuc_timescale                                       pp                                      cno                                 tri_alfa                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lneu                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                           he_core_radius                            c_core_radius                            o_core_radius                           si_core_radius                           fe_core_radius                       max_abs_v_velocity            surf_avg_omega_div_omega_crit               log_total_angular_momentum                           surf_avg_omega                           surf_avg_v_rot                                star_mdot 
                                       1                  1.0000000000000001E-005                  1.5000000000000000E+001                  4.1429796740248630E+000                  2.5192761865830637E+000                  3.5377362434409974E+000                  5.4784256652491186E+000                 -5.4159469232927595E+000                  8.2430757646496016E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923119089489129E+001                  8.4972062314292340E-001                  3.4244974433679609E+001                  3.4146878467733582E-005                  1.5538254192341095E+007                  1.1494926441943305E+003                  1.0792239759742109E+007                 -2.2504678356623668E+001                 -8.2004392821011280E+001                 -9.8999999999999986E+001                 -2.2504678356623668E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148685393126911E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000003E-005                  1.5000000000000000E+001                  4.1430079844281575E+000                  2.5192774066364345E+000                  3.5377427110151349E+000                  5.4784257049440646E+000                 -5.4159468282008216E+000                  8.2430759022888562E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923119010604207E+001                  8.4972062314292340E-001                  3.4244974349194429E+001                  3.4146881074024362E-005                  1.5538319669362351E+007                  1.1494144855022762E+003                  1.0791536267723223E+007                 -2.2504677704255634E+001                 -8.2004391295936543E+001                 -9.8999999999999986E+001                 -2.2504677704255634E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148684740758881E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000004E-005                  1.5000000000000000E+001                  4.1430376128968200E+000                  2.5192788456841870E+000                  3.5377493986084252E+000                  5.4784257533065537E+000                 -5.4159467132896344E+000                  8.2430760691495752E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118916631765E+001                  8.4972062314292340E-001                  3.4244974251648529E+001                  3.4146884233015748E-005                  1.5538396899584560E+007                  1.1493322643881111E+003                  1.0790800071890319E+007                 -2.2504676910408506E+001                 -8.2004389406589851E+001                 -9.8999999999999986E+001                 -2.2504676910408506E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148683946911753E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000001E-005                  1.5000000000000000E+001                  4.1430673281580965E+000                  2.5192805391806310E+000                  3.5377559806755219E+000                  5.4784258123190046E+000                 -5.4159465743248374E+000                  8.2430762716519457E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118804796884E+001                  8.4972062314292340E-001                  3.4244974139758618E+001                  3.4146888066017867E-005                  1.5538487785946062E+007                  1.1492491461473755E+003                  1.0790061769914722E+007                 -2.2504675943006870E+001                 -8.2004387058864779E+001                 -9.8999999999999986E+001                 -2.2504675943006870E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148682979510113E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  1.5000000000000000E+001                  4.1430952534698040E+000                  2.5192825276493882E+000                  3.5377619677690704E+000                  5.4784258844265219E+000                 -5.4159464061582243E+000                  8.2430765176489640E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118671845449E+001                  8.4972062314292340E-001                  3.4244974012364985E+001                  3.4146892721446918E-005                  1.5538594503524426E+007                  1.1491699897128781E+003                  1.0789367986862756E+007                 -2.2504674762554409E+001                 -8.2004384133479078E+001                 -9.8999999999999986E+001                 -2.2504674762554409E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148681799057655E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999986E-005                  1.5000000000000000E+001                  4.1431187084466323E+000                  2.5192848577395739E+000                  3.5377666664681846E+000                  5.4784259726342768E+000                 -5.4159462025467633E+000                  8.2430768167180020E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118513968927E+001                  8.4972062314292340E-001                  3.4244973868525371E+001                  3.4146898380401444E-005                  1.5538719556249296E+007                  1.1491017628603520E+003                  1.0788785300337454E+007                 -2.2504673320587791E+001                 -8.2004380479890941E+001                 -9.8999999999999986E+001                 -2.2504673320587791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148680357091038E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E-004                  1.5000000000000000E+001                  4.1431340770085976E+000                  2.5192875839541067E+000                  3.5377691455014091E+000                  5.4784260806160576E+000                 -5.4159459559503098E+000                  8.2430771804862761E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118326719413E+001                  8.4972062314292340E-001                  3.4244973707611649E+001                  3.4146905262938431E-005                  1.5538865869698871E+007                  1.1490538868055505E+003                  1.0788403519797768E+007                 -2.2504671557961981E+001                 -8.2004375909333405E+001                 -9.8999999999999986E+001                 -2.2504671557961981E+001                 -9.8999999999999986E+001                 -3.8230809449325605E+001                 -2.3148678594465228E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999998E-004                  1.5000000000000000E+001                  4.1431367550873546E+000                  2.5192907715244730E+000                  3.5377682212359156E+000                  5.4784262128279648E+000                 -5.4159456573179110E+000                  8.2430776229733684E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923118104916407E+001                  8.4972062314292340E-001                  3.4244973529401861E+001                  3.4146913634769851E-005                  1.5539036945442721E+007                  1.1490383676090382E+003                  1.0788336993267007E+007                 -2.2504669403077752E+001                 -8.2004370187330764E+001                 -9.8999999999999986E+001                 -2.2504669403077752E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148676439580996E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999997E-004                  1.5000000000000000E+001                  4.1431212614175665E+000                  2.5192945011232499E+000                  3.5377624830190793E+000                  5.4784263746188762E+000                 -5.4159452958768037E+000                  8.2430781609269737E+000                  7.0000000000000007E-001                  2.9797635251138625E-005                  2.7997020236474890E-001                  3.4003315958871438E-003                  1.0042037297056472E-003                  9.3356844324987819E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2923117842548679E+001                  8.4972062314292340E-001                  3.4244973334152881E+001                  3.4146923813982622E-005                  1.5539237114045626E+007                  1.1490694929228382E+003                  1.0788721879374329E+007                 -2.2504666770205361E+001                 -8.2004363026221483E+001                 -9.8999999999999986E+001                 -2.2504666770205361E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3148673806708608E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
