                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      2.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                    log_L                                    log_R                                 log_Teff                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_ti44                              center_cr48                              center_fe52                              center_fe54                              center_fe56                              center_ni56                        center_degeneracy                                center_ye                           center_entropy                    compactness_parameter                        dynamic_timescale                             kh_timescale                            nuc_timescale                                       pp                                      cno                                 tri_alfa                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lneu                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                           he_core_radius                            c_core_radius                            o_core_radius                           si_core_radius                           fe_core_radius                       max_abs_v_velocity            surf_avg_omega_div_omega_crit               log_total_angular_momentum                           surf_avg_omega                           surf_avg_v_rot                                star_mdot 
                                       1                  1.0000000000000001E-005                  2.5000000000000000E+001                  4.3548879425311595E+000                  2.6820162620292960E+000                  3.5093432728444549E+000                  5.4787872382461122E+000                 -5.6952801706817677E+000                  8.0083906074532152E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022441047433E+001                  8.5000496627254207E-001                  3.6061583747699480E+001                  2.8172219794514282E-005                  2.1114848039213393E+007                  1.3475824666890412E+003                  1.1042109922009351E+007                 -2.1776519089670703E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776519089670703E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174387257424229E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000003E-005                  2.5000000000000000E+001                  4.3552177138727242E+000                  2.6820186665758223E+000                  3.5094245134065831E+000                  5.4787872985543586E+000                 -5.6952800103786787E+000                  8.0083908322973620E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022284166788E+001                  8.5000496627254207E-001                  3.6061583561037352E+001                  2.8172223439977672E-005                  2.1115023398954708E+007                  1.3465521444644230E+003                  1.1033728537006360E+007                 -2.1776518052484253E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776518052484253E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174386220237782E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000004E-005                  2.5000000000000000E+001                  4.3556096493366905E+000                  2.6820215512289680E+000                  3.5095210549460019E+000                  5.4787873708303643E+000                 -5.6952798192874443E+000                  8.0083911009456958E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022098488610E+001                  8.5000496627254207E-001                  3.6061583345010163E+001                  2.8172227798136369E-005                  2.1115233774027258E+007                  1.3453285408745508E+003                  1.1023775477684375E+007                 -2.1776516814139757E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776516814139757E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174384981893283E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000001E-005                  2.5000000000000000E+001                  4.3560744546290264E+000                  2.6820250114481716E+000                  3.5096355261594834E+000                  5.4787874574254296E+000                 -5.6952795917151269E+000                  8.0083914217209049E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021879167483E+001                  8.5000496627254207E-001                  3.6061583096520309E+001                  2.8172233005376577E-005                  2.1115486127362523E+007                  1.3438787608712767E+003                  1.1011983552082278E+007                 -2.1776515336759889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776515336759889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174383504513415E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  2.5000000000000000E+001                  4.3566242192312714E+000                  2.6820291614009943E+000                  3.5097708923336342E+000                  5.4787875611442312E+000                 -5.6952793209750237E+000                  8.0083918044676814E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021620660873E+001                  8.5000496627254207E-001                  3.6061582812652368E+001                  2.8172239223375424E-005                  2.1115788786858279E+007                  1.3421658229330421E+003                  1.0998052524153989E+007                 -2.1776513575650377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776513575650377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174381743403902E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999986E-005                  2.5000000000000000E+001                  4.3572724032715238E+000                  2.6820341374616374E+000                  3.5099304503133752E+000                  5.4787876853299471E+000                 -5.6952789992191741E+000                  8.0083922608232765E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021316641898E+001                  8.5000496627254207E-001                  3.6061582490852729E+001                  2.8172246643699239E-005                  2.1116151700800929E+007                  1.3401487807877099E+003                  1.0981650186045557E+007                 -2.1776511478110884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776511478110884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174379645864409E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E-004                  2.5000000000000000E+001                  4.3580337453350424E+000                  2.6820401022747697E+000                  3.5101178034226890E+000                  5.4787878339664218E+000                 -5.6952786172343073E+000                  8.0083928045446360E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020959887588E+001                  8.5000496627254207E-001                  3.6061582129116630E+001                  2.8172255493369636E-005                  2.1116586734637409E+007                  1.3377831105955104E+003                  1.0962415615084449E+007                 -2.1776508981988609E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776508981988609E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174377149742135E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999998E-004                  2.5000000000000000E+001                  4.3589240569755443E+000                  2.6820472465074423E+000                  3.5103368092164784E+000                  5.4787880118076426E+000                 -5.6952781641745442E+000                  8.0083934519299316E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020542117451E+001                  8.5000496627254207E-001                  3.6061581726168150E+001                  2.8172266041985961E-005                  2.1117107799294446E+007                  1.3350214783131375E+003                  1.0939965481789356E+007                 -2.1776506013770096E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776506013770096E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174374181523618E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999997E-004                  2.5000000000000000E+001                  4.3599599246441727E+000                  2.6820558063924804E+000                  3.5105914961911164E+000                  5.4787882244987163E+000                 -5.6952776273070302E+000                  8.0083942222160385E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4416073257059888E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  4.0903243956537600E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020053832178E+001                  8.5000496627254207E-001                  3.6061581281587202E+001                  2.8172278608687838E-005                  2.1117732131497782E+007                  1.3318147648650565E+003                  1.0913902860847076E+007                 -2.1776502486901812E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1776502486901812E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174370654655334E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
