                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      2.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                    log_L                                    log_R                                 log_Teff                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_ti44                              center_cr48                              center_fe52                              center_fe54                              center_fe56                              center_ni56                        center_degeneracy                                center_ye                           center_entropy                    compactness_parameter                        dynamic_timescale                             kh_timescale                            nuc_timescale                                       pp                                      cno                                 tri_alfa                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lneu                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                           he_core_radius                            c_core_radius                            o_core_radius                           si_core_radius                           fe_core_radius                       max_abs_v_velocity            surf_avg_omega_div_omega_crit               log_total_angular_momentum                           surf_avg_omega                           surf_avg_v_rot                                star_mdot 
                                       1                  1.0000000000000001E-005                  2.5000000000000000E+001                  4.3548812423663668E+000                  2.6820162266533751E+000                  3.5093416154912171E+000                  5.4787872382772402E+000                 -5.6952801715004284E+000                  8.0083906068514281E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619421E-003                  6.2332839588502868E-004                  8.1070994611742719E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022443023503E+001                  8.4993046917670945E-001                  3.6061583754367689E+001                  2.8172219803983765E-005                  2.1114845459314782E+007                  1.3476033667173253E+003                  1.1042280277677953E+007                 -2.2530379095978368E+001                 -8.2010154091186322E+001                 -9.8999999999999986E+001                 -2.2530379095978368E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174386131790204E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000003E-005                  2.5000000000000000E+001                  4.3552110238245820E+000                  2.6820186300885718E+000                  3.5094228591381729E+000                  5.4787872986322581E+000                 -5.6952800111928914E+000                  8.0083908317744932E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871425E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742709E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022286294739E+001                  8.4993046917670945E-001                  3.6061583568460421E+001                  2.8172223449832833E-005                  2.1115020737986859E+007                  1.3465730005912678E+003                  1.1033898506339904E+007                 -2.2530378058654282E+001                 -8.2010150561854502E+001                 -9.8999999999999986E+001                 -2.2530378058654282E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174385094466114E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000004E-005                  2.5000000000000000E+001                  4.3556029593471646E+000                  2.6820215135437446E+000                  3.5095194012912323E+000                  5.4787873709352883E+000                 -5.6952798200433294E+000                  8.0083911005128190E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742719E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566022100577088E+001                  8.4993046917670956E-001                  3.6061583352451173E+001                  2.8172227808447766E-005                  2.1115231025665455E+007                  1.3453493815790398E+003                  1.1023945292207897E+007                 -2.2530376820146270E+001                 -8.2010146345074432E+001                 -9.8999999999999986E+001                 -2.2530376820146270E+001                 -9.8999999999999986E+001                 -3.7929779453661624E+001                 -2.3174383855958105E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000001E-005                  2.5000000000000000E+001                  4.3560677378564927E+000                  2.6820249724773610E+000                  3.5096338664517561E+000                  5.4787874575504736E+000                 -5.6952795923819020E+000                  8.0083914213914156E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742709E-004                  4.1673601164254041E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021881122305E+001                  8.4993046917670945E-001                  3.6061583103631278E+001                  2.8172233016247316E-005                  2.1115483285209607E+007                  1.3438996659736588E+003                  1.1012153864079583E+007                 -2.2530375342564430E+001                 -8.2010141310002552E+001                 -9.8999999999999986E+001                 -2.2530375342564430E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174382378376261E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  2.5000000000000000E+001                  4.3566174160983113E+000                  2.6820291210443514E+000                  3.5097692117287154E+000                  5.4787875612892183E+000                 -5.6952793215312107E+000                  8.0083918042583999E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742719E-004                  4.1673601164254030E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021622432416E+001                  8.4993046917670945E-001                  3.6061582819269589E+001                  2.8172239234964169E-005                  2.1115785843593989E+007                  1.3421869725690754E+003                  1.0998224807714509E+007                 -2.2530373581192951E+001                 -8.2010135301559188E+001                 -9.8999999999999986E+001                 -2.2530373581192951E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174380617004783E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999986E-005                  2.5000000000000000E+001                  4.3572653995036914E+000                  2.6820340955873836E+000                  3.5099287203085447E+000                  5.4787876854997375E+000                 -5.6952789996449420E+000                  8.0083922607578266E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742730E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566021318201765E+001                  8.4993046917670945E-001                  3.6061582496909438E+001                  2.8172246656275178E-005                  2.1116148646802764E+007                  1.3401705224529553E+003                  1.0981827286035785E+007                 -2.2530371483288661E+001                 -8.2010128135838855E+001                 -9.8999999999999986E+001                 -2.2530371483288661E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174378519100493E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E-004                  2.5000000000000000E+001                  4.3580263498574361E+000                  2.6820400586950295E+000                  3.5101159763431573E+000                  5.4787878341708343E+000                 -5.6952786175059940E+000                  8.0083928046576851E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742719E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020961215772E+001                  8.4993046917670945E-001                  3.6061582134600400E+001                  2.8172255507378900E-005                  2.1116583556188222E+007                  1.3378060257623495E+003                  1.0962602292541454E+007                 -2.2530368986630240E+001                 -8.2010119594435096E+001                 -9.8999999999999986E+001                 -2.2530368986630240E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174376022442072E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999998E-004                  2.5000000000000000E+001                  4.3589159911970796E+000                  2.6820472009562821E+000                  3.5103348155474423E+000                  5.4787880120205275E+000                 -5.6952781641763766E+000                  8.0083934522715268E+000                  6.9999999999999996E-001                  2.9797635251138614E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742719E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020542859158E+001                  8.4993046917670945E-001                  3.6061581729769635E+001                  2.8172266058118900E-005                  2.1117104476979531E+007                  1.3350464127777557E+003                  1.0940168662260365E+007                 -2.2530366017609655E+001                 -8.2010109416785795E+001                 -9.8999999999999986E+001                 -2.2530366017609655E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174373053421487E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999997E-004                  2.5000000000000000E+001                  4.3599508359987356E+000                  2.6820557585072371E+000                  3.5105892479723786E+000                  5.4787882248076967E+000                 -5.6952776271305519E+000                  8.0083942228544966E+000                  6.9999999999999996E-001                  2.9797635251138618E-005                  2.7997020236474884E-001                  3.4003315958871429E-003                  1.0042037297056470E-003                  9.3356844324987802E-003                  1.9378459386619419E-003                  6.2332839588502868E-004                  8.1070994611742730E-004                  4.1673601164254036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3566020054499910E+001                  8.4993046917670956E-001                  3.6061581285469899E+001                  2.8172278627933182E-005                  2.1117728638841186E+007                  1.3318427833984772E+003                  1.0914131262623977E+007                 -2.2530362489557675E+001                 -8.2010097293262632E+001                 -9.8999999999999986E+001                 -2.2530362489557675E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3174369525369507E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
